Original Transcription,Predicted Transcription,Prediction Time (s),Audio Length (s),WER,CER,MER,RTF
hola buenas a ver tengo un problema con vuestra aplicación resulta que quiero hacer una transferencia bancaria a una cuenta conocida,"hola, buenas. a ver, tengo un problema con vuestra aplicación, resulta que quiero hacer, una transferencia bancaria a una cuenta conocida pero me da error la aplicación a ver qué, a ver qué puede ser.",1.6801557540893555,17.066625,0.9047619047619048,0.5151515151515151,0.5428571428571428,0.09844686656496851
la aplicación no cargue el saldo de mi nueva cuenta,la aplicación no caro que sale de mi nueva cuenta.,0.3313558101654053,4.096,0.4,0.1568627450980392,0.4,0.0808974145911634
hola tengo un problema con la aplicación no carga y tampoco voy a quitar Gael saldo de mi cuenta nueva dice que la aplicación está siendo reparada y ahora no puedo acceder a mi cuenta necesito inmediatamente,"hola, tengo un problema con la aplicación no carga y tampoco vea que carga el saldo de mi cuenta nueva dice que la aplicación está siendo reparada y ahora no puedo acceder a mi cuenta. me necesite inmediatamente.",0.7482438087463379,15.104,0.24324324324324326,0.07729468599033816,0.23684210526315788,0.049539447083311566
hola buena la aplicación no se carga el saldo de mi cuenta nueva y sí que la voy a decir está siendo reparado y yo no puedo acceder a mi cuenta,"hola buena la aplicación no se carga, la biblioteca no caiga saldo de mi cuenta nueva, dice que la bridión está siendo reparada y ahora no puede hacer a mi cuenta.",0.6749298572540283,11.434625,0.5161290322580645,0.3356643356643357,0.47058823529411764,0.059025097653314235
bueno pues resulta que la aplicación no se actualiza cuando cuando he introducido saldo de la nueva cuenta y me dice que ahora mismo no está disponible que no puedo acceder a mi cuenta,"bueno pues resulta que la aplicación no se actualiza cuando, cuando introdució saldo, de la nueva cuenta y me dice que ahora mismo no está disponible que no pueda seda mi cuenta",0.7440094947814941,14.506625,0.20588235294117646,0.07608695652173914,0.20588235294117646,0.05128756652781016
hola buenos días verás es que no puedo acceder a mi cuenta la aplicación no funciona bien no sé qué pasa que intento meterme en mi saldo y demás pero no no carga no funciona,"hora, buenos días verás es que no puedo acceder a mi cuenta la aplicación no funciona bien. no sé qué pasa que intento meterme en mi saldo y demás pero no carga no funciona.",0.7665994167327881,15.530625,0.11428571428571428,0.04046242774566474,0.11428571428571428,0.0493605000914508
hola tengo problema con la aplicación,"hola, tengo problemas con la aplicación no me cargalizarlo de una nueva contratada, de banco.",0.46385836601257324,7.168,1.8333333333333333,1.5135135135135136,0.7333333333333333,0.06471238365130765
hola buenos días quería informar porque no me funciona la app del banco si dice que no me carga si vale vale muchas gracias,"hola, buenos días quería informarnos porque no me funciona la app del banco, dice que no me carga, sí vale, vale muchas gracias.",0.6479432582855225,10.24,0.3333333333333333,0.08943089430894309,0.3333333333333333,0.06327570881694555
intentando acceder a la aplicación de cargar correctamente,"hola, estoy intentando acceder a la aplicación de mi banco pero no carga correctamente. aparece un mensaje como está siendo reparada y no puede acceder.",0.6764276027679443,12.544,2.375,1.6551724137931034,0.76,0.05392439435331189
tengo un problema cuando entra en la aplicación no puedo ver los últimos movimientos de mi cuenta,tengo un problema cuando entro en la aplicación no puedo ver los últimos movimientos de mi cuenta.,0.43570971488952637,5.888,0.11764705882352941,0.020618556701030927,0.11764705882352941,0.07399961190379184
hola estoy utilizando la aplicación del banco y no funciona más que le doy no carga ni muestra el saldo ni cuenta me dejas teléfono tracción cómo podría solucionarlo,"ahora estoy utilizando la aplicación del banco, y no funciona, por más que le doy minucardo, ni muestra el cuenta, ni me deja hacer ninguna otra. ¿ cómo podría solucionarlo?",0.6689019203186035,10.069375,0.4827586206896552,0.28484848484848485,0.45161290322580644,0.06642933849604404
buenos días estoy teniendo problemas para acceder a la aplicación de mi cuenta bancaria la aplicación no carga me podrían indicar alguna solución,"buenos días estoy teniendo problemas para acceder a la aplicación de mi cuenta bancaria, la aplicación no carga me podrían indicar alguna solución",0.5811738967895508,9.472,0.043478260869565216,0.006896551724137931,0.043478260869565216,0.06135704146849143
dice que la aplicación está siendo reparada y ahora no puedo acceder a mi cuenta,dice que la aplicación está siendo reparada y ahora no puedo acceder a mi cuenta.,0.411435604095459,6.4,0.06666666666666667,0.0125,0.06666666666666667,0.06428681313991547
la aplicación móvil del banco no funciona correctamente,"hola, la aplicación móvil del banco no funciona correctamente.",0.3687596321105957,4.266625,0.25,0.12727272727272726,0.2222222222222222,0.08642888280797953
intentó abrir la aplicación pero se cierra automáticamente,intentó abrir la aplicación pero se encierra automáticamente.,0.4374380111694336,6.144,0.25,0.05172413793103448,0.25,0.071197592963775
mira tengo una aplicación instalada en mi móvil y te intentan hacer el saldo de mi cuenta en pero la aplicación no me funciona correctamente no se carga ningún momento,"mire tengo subo aplicación instalada en mi móvil, y estoy intentando hacer a saldo de mi cuenta pero la aplicación no me funciona correctamente. no se carga en ningún momento.",0.6089253425598145,10.4025,0.3333333333333333,0.12574850299401197,0.3225806451612903,0.05853644244747075
hola buenas quiero utilizar la aplicación del banco pero no consigo que funcione en condiciones no sé si es que está en mantenimiento o tengo algún problema yo me podrías ayudar,"hola, buenas, quiero utilizar la aplicación del banco, pero no consigo que funcione en condiciones, no sé si es que está en mantenimiento, o tengo algún problema yo, ¿ me podrías ayudar?",0.7100405693054199,12.032,0.25806451612903225,0.05084745762711865,0.25,0.05901268029466589
tengo un problema con la aplicación del móvil,tengo un problema con la aplicación del móvil.,0.36710524559020996,3.925375,0.125,0.022222222222222223,0.125,0.09352106374300799
estoy tratando de acceder a mi cuenta de banco y la aplicación no está cargando correctamente no me enseñan no me está enseñando la información que necesito,"estoy tratando de acceder a mi contrabajo y la aplicación no está cargando correctamente, no me está enseñando la información que necesito.",0.6166670322418213,9.6595,0.2962962962962963,0.15384615384615385,0.2962962962962963,0.06384047127095827
hola enciende la aplicación y me da error no sé que puede pasar,"hola, enciendo la aplicación y me da error, no sé qué puede pasar.",0.44024205207824707,6.40875,0.38461538461538464,0.07936507936507936,0.38461538461538464,0.06869390319145653
buenos días quería mirar cuánto tenía en el banco con la aplicación del móvil y no me funciona pero sabe si está bloqueada o algo,buenos días quería mirar cuanto tenían en el banco con la aplicación del móvil y no me funciona. saber si está bloqueada o algo.,0.6047132015228271,10.496,0.24,0.06976744186046512,0.24,0.05761368154752545
hola buenos días soy cliente del banco y les llamo por favor para que bloqueen mi tarjeta,"hola, bueno, diga, soy cliente del banco, y le llamo por favor para que bloqueen mi tarjeta. tengan inmediatamente todas las transacciones en mi tarjeta, y congélenla porque he tenido un problema con ella, y no quiero que alguien la use. gracias.",1.010197639465332,19.882625,1.8235294117647058,1.8202247191011236,0.7380952380952381,0.05080806178587244
hola buenos días mira llamaba porque quería hacer un bloqueo de mi tarjeta congelar todos los movimientos hasta nueva orden es posible,hola buenos días mira yo porque quería hacer un bloqueo de mi targeta congelar todos los movimientos hasta nueva orden es posible,0.5626885890960693,9.728,0.09090909090909091,0.05970149253731343,0.09090909090909091,0.05784216581990845
por favor quiero bloquear mi tarjeta,"por favor, quiero bloquear mi tarjeta.",0.3255453109741211,3.498625,0.3333333333333333,0.05555555555555555,0.3333333333333333,0.09304950115377358
hola buenos días me gustaría congelar mi tarjeta ya que últimamente he estado que han estado realizando unos pagos en mi nombre que no son míos,hola buenos días me gustaría congelar mi tarjeta ya que últimamente he estado realizando unos pagos en mi nombre que no son míos,0.6273198127746582,10.24,0.11538461538461539,0.1048951048951049,0.11538461538461539,0.061261700466275215
hola quería bloquear una tarjeta de crédito por favor,"hola, quería bloquear una tarjeta de crédito, por favor.",0.46857190132141113,6.826625,0.3333333333333333,0.05660377358490566,0.3333333333333333,0.06863888104611153
hola quería congelar mi tarjeta bloquearla por completo por favor,"hola. quería congelar mi tarjeta, bloquearla por completo, por favor.",0.4296283721923828,7.3375,0.4,0.06153846153846154,0.4,0.05855241869742866
quiero congelar mi tarjeta bancaria,quiero congelar mi tarjeta bancario.,0.2938072681427002,3.072,0.2,0.05714285714285714,0.2,0.09564038676520188
necesito bloquear mi tarjeta,necesito bloquear mi tarjeta.,0.34143900871276855,4.096,0.25,0.03571428571428571,0.25,0.08335913298651576
necesito que me bloqueen mi tarjeta,necesito que me bloqueen mi tarjeta.,0.34014415740966797,3.584,0.16666666666666666,0.02857142857142857,0.16666666666666666,0.09490629392010824
hola me gustaría tener todas las transiciones en mi tarjeta y quisiera congelarla y bloquearla,"hola, me gustaría detener toda la transición en mi tarjeta, y quisiera congelarla y bloquearla.",0.4593968391418457,7.338625,0.4666666666666667,0.10638297872340426,0.4666666666666667,0.06259985203520356
necesito que tener todas las transacciones de mi tarjeta dejarla bloqueada,"necesito detener todas las transacciones en mi tarjeta, dejarla bloqueada.",0.40419554710388184,6.741375,0.45454545454545453,0.0945945945945946,0.45454545454545453,0.05995743407003495
hola buenos días es que me gustaría cancelar la tarjeta terminada en 47 porque es que me acaban de robar pero quiero darla de baja quiero cancelarlo ahora mismo gracias,"hola, buenos días, es que me gustaría eh, cancelar la tarjeta, eh, terminada en cuenta existe porque es que me acaban de robar, pero quiero darla de baja, quiero cancelarla ahora mismo, gracias.",0.7016282081604004,11.861375,0.4,0.17261904761904762,0.36363636363636365,0.05915235022587182
buenos días he perdido la cartera y que me gustará congelar mi tarjeta por favor,"buenos días, he perdido la cartera y que me gustaría congelar mi tarjeta por favor.",0.47806525230407715,7.765375,0.2,0.05,0.2,0.06156370456083282
quería bloquear mi tarjeta por favor,"queré a bloquear mi tarjeta, por favor.",0.31824207305908203,3.498625,0.6666666666666666,0.1111111111111111,0.5714285714285714,0.09096204167611048
hola buenos días me han robado la tarjeta y quisiera congelarla para que no la puedan utilizar hasta gracias,"hola, buenos días, me han robado la tarjeta y quisiera congelarla para que no la puedan utilizar, muchas gracias.",0.5641114711761475,9.216,0.2631578947368421,0.08333333333333333,0.2631578947368421,0.06121001206338406
he tenido un problema con mi tarjeta no la encuentro y quiero bloquear todas las transacciones,"he tenido un problema con mi tarjeta, no la encuentro y quiero bloquear todas las transacciones.",0.4727139472961426,6.873125,0.125,0.02127659574468085,0.125,0.0687771497384585
hola buenas he perdido mi tarjeta de crédito me gustaría si pudierais por favor congelarla para que se vengan todas las transacciones gracias,"una buena he perdido mi tarjeta de crédito me gustaría, si pudierais, por favor, congelarla para que se detengan todas las transacciones, gracias.",0.5757310390472412,9.642625,0.34782608695652173,0.0851063829787234,0.34782608695652173,0.05970687847419569
hola buenos días por favor quería congelar mi tarjeta lo más rápido posible la he perdido y necesito detener todas las transacciones y bloquearla cuanto antes muchas gracias,o sea bueno que ya por favor quería congelar mi tarjeta lo más rápido posible la he perdido y necesito detener todas las transacciones y bloquearla cuanto antes con muchas demasiadas,0.7109353542327881,13.467625,0.25,0.12138728323699421,0.22580645161290322,0.05278847266929307
buenos días mire lo siento comunicarles pero acabo de perder la tarjeta de vuestra compañía y quiero bloquear lado de tenerla lo antes posible por favor para que no haga nadie uso de ella por favor hacérmelo a la mayor brevedad posible muchas gracias,"bueno día, mire, eh lo siento comunicarle, pero acabo de perder la tarjeta de vuestra compañía, y quiero bloquearla, o detenerla lo antes posible, por favor, para que no haga nadie uso della, por favor. hacédmelo a la mayor brevedad posible. muchas gracias.",0.8247463703155518,14.933375,0.4090909090909091,0.084,0.4,0.055228397486539495
hola buenos días mira te ha llamado porque tenía un problema y me han robado la cartera y me gustaría bloquear todas mis tarjetas,hola buenos días eh mile la llamó porque tenía un problema y me han robado la cartera y me gustaría bloquear todas mis tarjetas si yo le daré los números y por favor también compren que no haya habido transacciones recientes,1.2064688205718994,28.501375,0.875,0.8294573643410853,0.5121951219512195,0.0423301970719623
hola buenas llamaba para preguntar si por cómo puedo congelar mi tarjeta porque la quiero bloquear he perdido la tarjeta y así sea alguna otra manera de tener todas las transacciones que se hayan hecho con mi tarjeta,eh hola buena llamaba para preguntar si cómo puedo congelar mi tarjeta porque la quiero bloquear he perdido la tarjeta y así si hay alguna otra manera de tener todas las transacciones que se hayan hecho con mi tarjeta,0.899024248123169,18.602625,0.13157894736842105,0.05555555555555555,0.125,0.04832781653789016
buenas he perdido mi tarjeta de crédito y me gustaría bloquear la tarjeta por favor,"bueno, he perdido mi tarjeta de crédito y me gustaría bloquear la tarjeta, por favor.",0.42690229415893555,4.949375,0.2,0.04819277108433735,0.2,0.08625377833745383
hola buenas pues resulta llamada porque resulta que he perdido mi tarjeta me gustaría congelarla por favor,"hola buena, pues resulta llamado porque resulta que he perdido mi tarjeta me gustaría congelarla, por favor.",0.49974846839904785,7.594625,0.23529411764705882,0.03773584905660377,0.23529411764705882,0.06580291566720514
perdí mi tarjeta entonces necesito bloquearla para poder detener corazón sesiones en mi tarjeta cómo puedo hacer eso,"perdí mi tarjeta, entonces necesito bloquearla para poder detener todas las transacciones en mi tarjeta como puedo hacer esto.",0.5886220932006836,8.545,0.3333333333333333,0.15517241379310345,0.3157894736842105,0.06888497287310516
hola buenos días nada yo me voy porque tuve un problema con mi tarjeta y que la extravié y quería bloquear totalmente las transacciones que se pueden realizar con esta,hola buenos días nada llamaba porque tuve un problema con mi targeta que la extravié y me y quería bloquear totalmente las transacciones que se pueden realizar con ésta,0.7701702117919922,16.298625,0.26666666666666666,0.10179640718562874,0.25,0.04725369236926379
