path,audio,transcription,english_transcription,intent_class,lang_id,similarity,tts_time
C:\Users\spn\.cache\huggingface\datasets\downloads\extracted\c42d4735703a74ac31abad9d45de5310e7a455ef4e43c30bac98225a885c9639\en-US~JOINT_ACCOUNT\602ba55abb1e6d0fbce92065.wav,"{'path': 'C:\\Users\\spn\\.cache\\huggingface\\datasets\\downloads\\extracted\\c42d4735703a74ac31abad9d45de5310e7a455ef4e43c30bac98225a885c9639\\en-US~JOINT_ACCOUNT\\602ba55abb1e6d0fbce92065.wav', 'array': array([ 0.        ,  0.00024414, -0.00024414, ..., -0.00024414,
        0.        ,  0.        ]), 'sampling_rate': 8000}",I would like to set up a joint account with my partner,I would like to set up a joint account with my partner,11,4,0.8553846478462219,2.5821287631988525
C:\Users\spn\.cache\huggingface\datasets\downloads\extracted\c42d4735703a74ac31abad9d45de5310e7a455ef4e43c30bac98225a885c9639\en-US~JOINT_ACCOUNT\602baf24bb1e6d0fbce922a7.wav,"{'path': 'C:\\Users\\spn\\.cache\\huggingface\\datasets\\downloads\\extracted\\c42d4735703a74ac31abad9d45de5310e7a455ef4e43c30bac98225a885c9639\\en-US~JOINT_ACCOUNT\\602baf24bb1e6d0fbce922a7.wav', 'array': array([0.        , 0.00024414, 0.        , ..., 0.01306152, 0.01208496,
       0.01135254]), 'sampling_rate': 8000}",Henry County set up a joint account with my wife and where are they at,Henry County set up a joint account with my wife and where are they at,11,4,0.8842463493347168,1.7429003715515137
C:\Users\spn\.cache\huggingface\datasets\downloads\extracted\c42d4735703a74ac31abad9d45de5310e7a455ef4e43c30bac98225a885c9639\en-US~JOINT_ACCOUNT\602b9f97963e11ccd901cc32.wav,"{'path': 'C:\\Users\\spn\\.cache\\huggingface\\datasets\\downloads\\extracted\\c42d4735703a74ac31abad9d45de5310e7a455ef4e43c30bac98225a885c9639\\en-US~JOINT_ACCOUNT\\602b9f97963e11ccd901cc32.wav', 'array': array([0.        , 0.        , 0.        , ..., 0.00073242, 0.00048828,
       0.00097656]), 'sampling_rate': 8000}",hi I'd like to set up a joint account with my partner I'm not seeing the option to do it on the app so I called in to get some help can I do it over the phone with you and give you the information,hi I'd like to set up a joint account with my partner I'm not seeing the option to do it on the app so I called in to get some help can I do it over the phone with you and give you the information,11,4,0.8978208303451538,1.8057212829589844
C:\Users\spn\.cache\huggingface\datasets\downloads\extracted\c42d4735703a74ac31abad9d45de5310e7a455ef4e43c30bac98225a885c9639\en-US~JOINT_ACCOUNT\602bacab5f67b421554f6488.wav,"{'path': 'C:\\Users\\spn\\.cache\\huggingface\\datasets\\downloads\\extracted\\c42d4735703a74ac31abad9d45de5310e7a455ef4e43c30bac98225a885c9639\\en-US~JOINT_ACCOUNT\\602bacab5f67b421554f6488.wav', 'array': array([ 0.00024414,  0.        ,  0.        , ...,  0.        ,
        0.        , -0.00024414]), 'sampling_rate': 8000}",how do I start a joint account,how do I start a joint account,11,4,0.7677745819091797,1.857499599456787
C:\Users\spn\.cache\huggingface\datasets\downloads\extracted\c42d4735703a74ac31abad9d45de5310e7a455ef4e43c30bac98225a885c9639\en-US~JOINT_ACCOUNT\602b9d4cbb1e6d0fbce91fa4.wav,"{'path': 'C:\\Users\\spn\\.cache\\huggingface\\datasets\\downloads\\extracted\\c42d4735703a74ac31abad9d45de5310e7a455ef4e43c30bac98225a885c9639\\en-US~JOINT_ACCOUNT\\602b9d4cbb1e6d0fbce91fa4.wav', 'array': array([-0.00024414,  0.        , -0.00024414, ...,  0.        ,
        0.00024414,  0.00024414]), 'sampling_rate': 8000}",can you help me set up a joint bank account,can you help me set up a joint bank account,11,4,0.7983595728874207,1.7790725231170654
C:\Users\spn\.cache\huggingface\datasets\downloads\extracted\c42d4735703a74ac31abad9d45de5310e7a455ef4e43c30bac98225a885c9639\en-US~JOINT_ACCOUNT\602bafa0bb1e6d0fbce922c7.wav,"{'path': 'C:\\Users\\spn\\.cache\\huggingface\\datasets\\downloads\\extracted\\c42d4735703a74ac31abad9d45de5310e7a455ef4e43c30bac98225a885c9639\\en-US~JOINT_ACCOUNT\\602bafa0bb1e6d0fbce922c7.wav', 'array': array([ 0.        ,  0.00024414,  0.00024414, ..., -0.00170898,
       -0.00170898, -0.00170898]), 'sampling_rate': 8000}",how to set up a joint account,how to set up a joint account,11,4,0.7970879077911377,1.7885463237762451
C:\Users\spn\.cache\huggingface\datasets\downloads\extracted\c42d4735703a74ac31abad9d45de5310e7a455ef4e43c30bac98225a885c9639\en-US~JOINT_ACCOUNT\602baf47bb1e6d0fbce922b6.wav,"{'path': 'C:\\Users\\spn\\.cache\\huggingface\\datasets\\downloads\\extracted\\c42d4735703a74ac31abad9d45de5310e7a455ef4e43c30bac98225a885c9639\\en-US~JOINT_ACCOUNT\\602baf47bb1e6d0fbce922b6.wav', 'array': array([-0.00024414,  0.        ,  0.        , ..., -0.0012207 ,
       -0.00024414,  0.        ]), 'sampling_rate': 8000}",is like you open a joint account tell me about processes,is like you open a joint account tell me about processes,11,4,0.7648494243621826,1.743215560913086
C:\Users\spn\.cache\huggingface\datasets\downloads\extracted\c42d4735703a74ac31abad9d45de5310e7a455ef4e43c30bac98225a885c9639\en-US~JOINT_ACCOUNT\602ba612bb1e6d0fbce92088.wav,"{'path': 'C:\\Users\\spn\\.cache\\huggingface\\datasets\\downloads\\extracted\\c42d4735703a74ac31abad9d45de5310e7a455ef4e43c30bac98225a885c9639\\en-US~JOINT_ACCOUNT\\602ba612bb1e6d0fbce92088.wav', 'array': array([ 0.        ,  0.        ,  0.00024414, ..., -0.00073242,
       -0.00073242, -0.00073242]), 'sampling_rate': 8000}",can I have an account with my sister I want to set up a joint account,can I have an account with my sister I want to set up a joint account,11,4,0.8849809765815735,1.775298833847046
C:\Users\spn\.cache\huggingface\datasets\downloads\extracted\c42d4735703a74ac31abad9d45de5310e7a455ef4e43c30bac98225a885c9639\en-US~JOINT_ACCOUNT\602baa0fbb1e6d0fbce9214f.wav,"{'path': 'C:\\Users\\spn\\.cache\\huggingface\\datasets\\downloads\\extracted\\c42d4735703a74ac31abad9d45de5310e7a455ef4e43c30bac98225a885c9639\\en-US~JOINT_ACCOUNT\\602baa0fbb1e6d0fbce9214f.wav', 'array': array([ 0.        , -0.00024414,  0.00024414, ..., -0.01135254,
       -0.0098877 , -0.01208496]), 'sampling_rate': 8000}",I need to find out if I probably set up a joint account,I need to find out if I probably set up a joint account,11,4,0.8909626007080078,1.7610676288604736
C:\Users\spn\.cache\huggingface\datasets\downloads\extracted\c42d4735703a74ac31abad9d45de5310e7a455ef4e43c30bac98225a885c9639\en-US~JOINT_ACCOUNT\602bac37bb1e6d0fbce921c0.wav,"{'path': 'C:\\Users\\spn\\.cache\\huggingface\\datasets\\downloads\\extracted\\c42d4735703a74ac31abad9d45de5310e7a455ef4e43c30bac98225a885c9639\\en-US~JOINT_ACCOUNT\\602bac37bb1e6d0fbce921c0.wav', 'array': array([-0.00024414,  0.        ,  0.        , ...,  0.00024414,
        0.        , -0.00024414]), 'sampling_rate': 8000}",I am calling because I would like to set up a joint with my partner as possible and is there a bunny,I am calling because I would like to set up a joint with my partner as possible and is there a bunny,11,4,0.8919370770454407,1.799299955368042
