Original Transcription,Predicted Transcription,Prediction Time (s),Audio Length (s),WER,CER,MER,RTF
I would like to set up a joint account with my partner,i would like to set up a joint account with my partner how do i proceed with doing that,1.4305450916290283,10.837375,0.6666666666666666,0.6296296296296297,0.42105263157894735,0.13200106959748356
Henry County set up a joint account with my wife and where are they at,wondering how i would set up a joint ht with my wife and where the app might be,0.218017578125,6.656,0.6,0.5142857142857142,0.5,0.03275504479041467
hi I'd like to set up a joint account with my partner I'm not seeing the option to do it on the app so I called in to get some help can I do it over the phone with you and give you the information,hi i'd like to set up a joint account with my partner i'm not seeing the option to do it on the app so i called in to get some help can i just do it over the phone with you and give you the information or should i do it in the app and i'm missing something okay i'd prefer to just do it over the phone if possible thanks,0.31496143341064453,24.234625,0.6666666666666666,0.6530612244897959,0.4225352112676056,0.012996340294543222
how do I start a joint account,how do i start a joint account,0.23081088066101074,3.242625,0.14285714285714285,0.03333333333333333,0.14285714285714285,0.0711802569402909
can you help me set up a joint bank account,can now you help me set up a joint bank account,0.24227380752563477,3.84,0.1,0.09302325581395349,0.09090909090909091,0.06309213737646739
how to set up a joint account,how to set up a joint account,0.22421836853027344,4.551125,0.0,0.0,0.0,0.04926658101684165
is like you open a joint account tell me about processes,hi i'd like to open a joint account can you tell me what process is thank you,0.21839189529418945,5.888,0.9090909090909091,0.5535714285714286,0.5882352941176471,0.03709101482577946
can I have an account with my sister I want to set up a joint account,um can i have an account with um my sister i want to set up a joint account,0.2072744369506836,8.533375,0.25,0.11594202898550725,0.2222222222222222,0.02428985447735317
I need to find out if I probably set up a joint account,hi i need to find out about how to set up a joint account please,0.24132204055786133,7.3375,0.46153846153846156,0.41818181818181815,0.4,0.03288886413054328
I am calling because I would like to set up a joint with my partner as possible and is there a bunny,i am calling because i would like to set up an account that is joint with my partner is this possible and is there a joint account that i can see on the app,0.2502126693725586,13.653375,0.7727272727272727,0.61,0.5,0.01832606731834133
I need help setting up a joint account,please i need help setting up a joint account,0.20633602142333984,5.290625,0.25,0.21052631578947367,0.2222222222222222,0.039000311196378465
how do I go about setting up a joint account for my wife and I,how do i go about setting up b joint account for my wife and i,0.285442590713501,6.997375,0.2,0.04838709677419355,0.2,0.040792810262920164
hi I was trying to set up a joint account is there a somewhere on the app that I can do that or do I have to do that through you,hi i was trying to set up a joint account is there somewhere on the app that i can do that or do i have to do that through you,0.22804498672485352,10.922625,0.12903225806451613,0.0390625,0.12903225806451613,0.020878221739266296
I was wanting to set up a joint account with my spouse and I was wondering do we each get separate card debit card and separate way of knowing who is accessing the thank you,i was wanting to set up a joint account with my spouse and i was wondering do we each get a separate card debit card and um a separate way of knowing who is accessing the account thank you,0.25276756286621094,14.933375,0.17142857142857143,0.09826589595375723,0.15384615384615385,0.016926352071531783
how do I set up a joint account,how do i set up a joint account,0.2105264663696289,2.986625,0.125,0.03225806451612903,0.125,0.0704897556170021
I was hoping to set up a joint account,hi i was hoping to set up a joint account can you help me with that,0.2330780029296875,4.864,0.8888888888888888,0.7894736842105263,0.5,0.04791899731284694
how do I create a joint account,how do i create a joint account,0.21845722198486328,3.157375,0.14285714285714285,0.03225806451612903,0.14285714285714285,0.06918950773502143
how do I set up a joint account,otherwise set up a joint account,0.21228671073913574,5.632,0.375,0.2903225806451613,0.375,0.037692952901124954
